[L41 , C53 ] IDENTIFIER     --> "nombre"
[L41 , C60 ] OPERATOR       --> "+"
[L41 , C62 ] STRINGLIT      --> "" (Prioridad: ""
[L41 , C78 ] OPERATOR       --> "+"
[L41 , C80 ] IDENTIFIER     --> "prioridad"
[L41 , C90 ] OPERATOR       --> "+"
[L41 , C92 ] STRINGLIT      --> "")""
[L41 , C95 ] SEPARATOR      --> ";"
[L42 , C9  ] SEPARATOR      --> "}"
[L43 , C5  ] SEPARATOR      --> "}"
[L47 , C5  ] KEYWORD        --> "private"
[L47 , C13 ] KEYWORD        --> "static"
[L47 , C20 ] IDENTIFIER     --> "List"
[L47 , C24 ] OPERATOR       --> "<"
[L47 , C25 ] IDENTIFIER     --> "Tarea"
[L47 , C30 ] OPERATOR       --> ">"
[L47 , C32 ] IDENTIFIER     --> "tareas"
[L47 , C39 ] OPERATOR       --> "="
[L47 , C41 ] KEYWORD        --> "new"
[L47 , C45 ] IDENTIFIER     --> "ArrayList"
[L47 , C54 ] OPERATOR       --> "<"
[L47 , C55 ] OPERATOR       --> ">"
[L47 , C56 ] SEPARATOR      --> "("
[L47 , C57 ] SEPARATOR      --> ")"
[L47 , C58 ] SEPARATOR      --> ";"
[L49 , C5  ] KEYWORD        --> "public"
[L49 , C12 ] KEYWORD        --> "static"
[L49 , C19 ] KEYWORD        --> "void"
[L49 , C24 ] IDENTIFIER     --> "main"
[L49 , C28 ] SEPARATOR      --> "("
[L49 , C29 ] IDENTIFIER     --> "String"
[L49 , C35 ] SEPARATOR      --> "["
[L49 , C36 ] SEPARATOR      --> "]"
[L49 , C38 ] IDENTIFIER     --> "args"
[L49 , C42 ] SEPARATOR      --> ")"
[L49 , C44 ] SEPARATOR      --> "{"
[L50 , C9  ] IDENTIFIER     --> "Scanner"
[L50 , C17 ] IDENTIFIER     --> "scanner"
[L50 , C25 ] OPERATOR       --> "="
[L50 , C27 ] KEYWORD        --> "new"
[L50 , C31 ] IDENTIFIER     --> "Scanner"
[L50 , C38 ] SEPARATOR      --> "("
[L50 , C39 ] IDENTIFIER     --> "System"
[L50 , C45 ] SEPARATOR      --> "."
[L50 , C46 ] IDENTIFIER     --> "in"
[L50 , C48 ] SEPARATOR      --> ")"
[L50 , C49 ] SEPARATOR      --> ";"
[L51 , C9  ] KEYWORD        --> "boolean"
[L51 , C17 ] IDENTIFIER     --> "salir"
[L51 , C23 ] OPERATOR       --> "="
[L51 , C25 ] KEYWORD        --> "false"
[L51 , C30 ] SEPARATOR      --> ";"
[L53 , C9  ] KEYWORD        --> "while"
[L53 , C15 ] SEPARATOR      --> "("
[L53 , C16 ] OPERATOR       --> "!"
[L53 , C17 ] IDENTIFIER     --> "salir"
[L53 , C22 ] SEPARATOR      --> ")"
[L53 , C24 ] SEPARATOR      --> "{"
[L54 , C13 ] IDENTIFIER     --> "mostrarMenu"
[L54 , C24 ] SEPARATOR      --> "("
[L54 , C25 ] SEPARATOR      --> ")"
[L54 , C26 ] SEPARATOR      --> ";"
[L55 , C13 ] IDENTIFIER     --> "System"
[L55 , C19 ] SEPARATOR      --> "."
[L55 , C20 ] IDENTIFIER     --> "out"
[L55 , C23 ] SEPARATOR      --> "."
[L55 , C24 ] IDENTIFIER     --> "print"
[L55 , C29 ] SEPARATOR      --> "("
[L55 , C30 ] STRINGLIT      --> ""Selecciona una opción: ""
[L55 , C55 ] SEPARATOR      --> ")"
[L55 , C56 ] SEPARATOR      --> ";"
[L56 , C13 ] KEYWORD        --> "int"
[L56 , C17 ] IDENTIFIER     --> "opcion"
[L56 , C24 ] OPERATOR       --> "="
[L56 , C26 ] IDENTIFIER     --> "scanner"
[L56 , C33 ] SEPARATOR      --> "."
[L56 , C34 ] IDENTIFIER     --> "nextInt"
[L56 , C41 ] SEPARATOR      --> "("
[L56 , C42 ] SEPARATOR      --> ")"
[L56 , C43 ] SEPARATOR      --> ";"
[L57 , C13 ] IDENTIFIER     --> "scanner"
[L57 , C20 ] SEPARATOR      --> "."
[L57 , C21 ] IDENTIFIER     --> "nextLine"
[L57 , C29 ] SEPARATOR      --> "("
[L57 , C30 ] SEPARATOR      --> ")"
[L57 , C31 ] SEPARATOR      --> ";"
[L59 , C13 ] KEYWORD        --> "switch"
[L59 , C20 ] SEPARATOR      --> "("
[L59 , C21 ] IDENTIFIER     --> "opcion"
[L59 , C27 ] SEPARATOR      --> ")"
[L59 , C29 ] SEPARATOR      --> "{"
[L60 , C17 ] KEYWORD        --> "case"
[L60 , C22 ] INTEGERLIT     --> "1"
[L60 , C23 ] OPERATOR       --> ":"
[L61 , C21 ] IDENTIFIER     --> "agregarTarea"
[L61 , C33 ] SEPARATOR      --> "("
[L61 , C34 ] IDENTIFIER     --> "scanner"
[L61 , C41 ] SEPARATOR      --> ")"
[L61 , C42 ] SEPARATOR      --> ";"
[L62 , C21 ] KEYWORD        --> "break"
[L62 , C26 ] SEPARATOR      --> ";"
[L63 , C17 ] KEYWORD        --> "case"
[L63 , C22 ] INTEGERLIT     --> "2"
[L63 , C23 ] OPERATOR       --> ":"
[L64 , C21 ] IDENTIFIER     --> "listarTareas"
[L64 , C33 ] SEPARATOR      --> "("
[L64 , C34 ] SEPARATOR      --> ")"
[L64 , C35 ] SEPARATOR      --> ";"
[L65 , C21 ] KEYWORD        --> "break"
[L65 , C26 ] SEPARATOR      --> ";"
[L66 , C17 ] KEYWORD        --> "case"
[L66 , C22 ] INTEGERLIT     --> "3"
[L66 , C23 ] OPERATOR       --> ":"
[L67 , C21 ] IDENTIFIER     --> "completarTarea"
[L67 , C35 ] SEPARATOR      --> "("
[L67 , C36 ] IDENTIFIER     --> "scanner"
[L67 , C43 ] SEPARATOR      --> ")"
[L67 , C44 ] SEPARATOR      --> ";"
[L68 , C21 ] KEYWORD        --> "break"
[L68 , C26 ] SEPARATOR      --> ";"
[L69 , C17 ] KEYWORD        --> "case"
[L69 , C22 ] INTEGERLIT     --> "4"
[L69 , C23 ] OPERATOR       --> ":"
[L70 , C21 ] IDENTIFIER     --> "eliminarTarea"
[L70 , C34 ] SEPARATOR      --> "("
[L70 , C35 ] IDENTIFIER     --> "scanner"
[L70 , C42 ] SEPARATOR      --> ")"
[L70 , C43 ] SEPARATOR      --> ";"
[L71 , C21 ] KEYWORD        --> "break"
[L71 , C26 ] SEPARATOR      --> ";"
[L72 , C17 ] KEYWORD        --> "case"
[L72 , C22 ] INTEGERLIT     --> "5"
[L72 , C23 ] OPERATOR       --> ":"
[L73 , C21 ] IDENTIFIER     --> "System"
[L73 , C27 ] SEPARATOR      --> "."
[L73 , C28 ] IDENTIFIER     --> "out"
[L73 , C31 ] SEPARATOR      --> "."
[L73 , C32 ] IDENTIFIER     --> "println"
[L73 , C39 ] SEPARATOR      --> "("
[L73 , C40 ] STRINGLIT      --> ""Saliendo del sistema...""
[L73 , C65 ] SEPARATOR      --> ")"
[L73 , C66 ] SEPARATOR      --> ";"
[L74 , C21 ] IDENTIFIER     --> "salir"
[L74 , C27 ] OPERATOR       --> "="
[L74 , C29 ] KEYWORD        --> "true"
[L74 , C33 ] SEPARATOR      --> ";"
[L75 , C21 ] KEYWORD        --> "break"
[L75 , C26 ] SEPARATOR      --> ";"
[L76 , C17 ] KEYWORD        --> "default"
[L76 , C24 ] OPERATOR       --> ":"
[L77 , C21 ] IDENTIFIER     --> "System"
[L77 , C27 ] SEPARATOR      --> "."
[L77 , C28 ] IDENTIFIER     --> "out"
[L77 , C31 ] SEPARATOR      --> "."
[L77 , C32 ] IDENTIFIER     --> "println"
[L77 , C39 ] SEPARATOR      --> "("
[L77 , C40 ] STRINGLIT      --> ""Opción inválida""
[L77 , C57 ] SEPARATOR      --> ")"
[L77 , C58 ] SEPARATOR      --> ";"
[L78 , C13 ] SEPARATOR      --> "}"
[L79 , C9  ] SEPARATOR      --> "}"
[L81 , C9  ] IDENTIFIER     --> "scanner"
[L81 , C16 ] SEPARATOR      --> "."
[L81 , C17 ] IDENTIFIER     --> "close"
[L81 , C22 ] SEPARATOR      --> "("
[L81 , C23 ] SEPARATOR      --> ")"
[L81 , C24 ] SEPARATOR      --> ";"
[L82 , C5  ] SEPARATOR      --> "}"
[L84 , C5  ] KEYWORD        --> "private"
[L84 , C13 ] KEYWORD        --> "static"
[L84 , C20 ] KEYWORD        --> "void"
[L84 , C25 ] IDENTIFIER     --> "mostrarMenu"
[L84 , C36 ] SEPARATOR      --> "("
[L84 , C37 ] SEPARATOR      --> ")"
[L84 , C39 ] SEPARATOR      --> "{"
[L85 , C9  ] IDENTIFIER     --> "System"
[L85 , C15 ] SEPARATOR      --> "."
[L85 , C16 ] IDENTIFIER     --> "out"
[L85 , C19 ] SEPARATOR      --> "."
[L85 , C20 ] IDENTIFIER     --> "println"
[L85 , C27 ] SEPARATOR      --> "("
[L85 , C28 ] STRINGLIT      --> ""\n--- GESTOR DE TAREAS ---""
[L85 , C56 ] SEPARATOR      --> ")"
[L85 , C57 ] SEPARATOR      --> ";"
[L86 , C9  ] IDENTIFIER     --> "System"
[L86 , C15 ] SEPARATOR      --> "."
[L86 , C16 ] IDENTIFIER     --> "out"
[L86 , C19 ] SEPARATOR      --> "."
[L86 , C20 ] IDENTIFIER     --> "println"
[L86 , C27 ] SEPARATOR      --> "("
[L86 , C28 ] STRINGLIT      --> ""1. Agregar tarea""
[L86 , C46 ] SEPARATOR      --> ")"
[L86 , C47 ] SEPARATOR      --> ";"
[L87 , C9  ] IDENTIFIER     --> "System"
[L87 , C15 ] SEPARATOR      --> "."
[L87 , C16 ] IDENTIFIER     --> "out"
[L87 , C19 ] SEPARATOR      --> "."
[L87 , C20 ] IDENTIFIER     --> "println"
[L87 , C27 ] SEPARATOR      --> "("
[L87 , C28 ] STRINGLIT      --> ""2. Listar tareas""
[L87 , C46 ] SEPARATOR      --> ")"
[L87 , C47 ] SEPARATOR      --> ";"
